地名,センター,燃せるごみ,燃せないごみ,資源再生物,ペットボトルプラクル
明石町,      ,月 木,火1 火3,火2 火4,金
天沼,        ,月 木,金1 金3,金2 金4,水
飯島,        ,火 金,水13,木24,水
出縄,     　 ,火 木,木13,木24,水
入野,        ,火 金,木24,木13,水
入部,        ,火 金,木24,木13,水
榎木町,      ,月 木,金13,金24,水
老松町,      ,月 木,金13,金24,水
追分,        ,月 木,火24,火13,水
大神,        ,火 金,月24,月13,水
大島,        ,火 金,月24,月13,水
大原,        ,月 木,火24,火13,水
岡崎,        ,火 金,木24,木13,水
片岡,        ,火 金,月13,月24,水
上吉沢,      ,火 金,水24,水13,木
上平塚,      ,月 木,金13,金24,水
北金目,      ,火 金,月13,月24,水
北豊田,      ,火 金,木24,月13,水
城所,        ,火 金,月24,月13,水
久領堤,      ,月 木,火13,火24,水
黒部丘,      ,月 木,金24,金13,水
河内,        ,火 金,水24,水13,木
御殿一～四丁目, 　 ,月木,火24,火13,水
小鍋島,      ,火 金,月13,月24,水
幸町,        ,月 木,火13,火24,水
桜ヶ丘,      ,月 木,金13,金24,水
真田,        ,火 金,月13,月24,水
四之宮一～七丁目,   ,月 木,水13,水24,火
下吉沢,      ,火 金,水24,水13,木
下島,        ,火 金,月24,月13,水
新町,        ,月 木,火24,火13,水
須賀,        ,月 木,金13,金24,水
菫平,        ,月 木,金24,金13,水
諏訪町,      ,月 木,金13,金24,水

